idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
23686,2.961,-14.365,49.338,-2131740.000,2131699.338,4.648,5.920,8.172,-52.368,-1.165,0.306
23687,-1.864,-9.211,49.347,-2131830.000,2131789.347,4.632,5.321,34.866,-77.378,-0.745,-0.173
23688,-1.974,-11.953,49.347,-2131920.000,2131879.347,4.609,5.484,1.634,-102.294,-0.961,-0.189
23689,-2.412,-12.501,49.349,-2132010.000,2131969.349,4.580,5.430,5.448,-127.083,-0.999,-0.229
23690,-2.741,-13.597,49.350,-2132100.000,2132059.350,4.546,5.411,3.995,-151.712,-1.079,-0.259
23691,-3.290,-11.514,49.351,-2132190.000,2132149.351,4.505,5.085,4.903,-176.147,-0.905,-0.292
23692,-3.728,-12.062,49.352,-2132280.000,2132239.352,4.457,5.012,3.269,-200.354,-0.938,-0.326
23693,-4.167,-12.501,49.353,-2132370.000,2132329.353,4.404,4.921,5.266,-224.302,-0.961,-0.358
23694,-4.715,-12.610,49.354,-2132460.000,2132419.354,4.345,4.794,4.540,-247.957,-0.956,-0.395
23695,-5.154,-13.707,49.355,-2132550.000,2132509.355,4.280,4.758,4.177,-271.287,-1.024,-0.428
23696,-5.483,-13.268,49.356,-2132640.000,2132599.356,4.210,4.576,3.269,-294.260,-0.975,-0.438
23697,-5.483,-13.159,49.357,-2132730.000,2132689.357,4.133,4.413,3.995,-316.845,-0.949,-0.422
23698,-5.483,-13.159,49.358,-2132820.000,2132779.358,4.051,4.249,3.632,-339.011,-0.930,-0.407
23699,-5.702,-12.172,49.359,-2132910.000,2132869.359,3.964,3.995,2.905,-360.728,-0.842,-0.398
23700,-6.031,-13.268,49.360,-2133000.000,2132959.360,3.871,3.941,3.450,-381.965,-0.896,-0.415
23701,-6.360,-12.172,49.360,-2133090.000,2133049.360,3.773,3.668,2.179,-402.693,-0.802,-0.407
