idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
38464,0.000,-144.637,0.000,0.004,-0.005,-4.291,4.120,5.493,-3416.293,10.833,0.000
38465,0.000,-112.507,0.001,0.003,-0.003,-5.021,4.120,5.493,-2385.702,9.859,0.000
38466,0.110,-64.916,-0.001,0.001,-0.003,-5.475,1.373,-8.240,-1223.832,6.203,0.003
38467,0.110,-31.252,0.002,0.000,0.001,-5.629,3.433,10.986,5.688,3.070,0.007
38468,0.219,22.918,-0.001,-0.001,-0.001,-5.474,0.000,-10.986,1235.446,-2.190,0.000
38469,0.219,63.381,0.002,-0.003,0.003,-5.019,0.000,10.986,2397.932,-5.552,0.000
38470,0.329,90.247,0.002,-0.004,0.005,-4.288,3.090,1.373,3429.251,-6.754,0.018
38471,0.439,142.553,-0.001,-0.005,0.003,-3.322,-2.747,-12.360,4272.636,-8.265,-0.021
38472,0.439,150.339,0.001,-0.006,0.006,-2.173,2.060,8.240,4881.581,-5.701,0.016
38473,0.439,173.257,0.001,-0.006,0.007,-0.904,0.000,0.000,5222.414,-2.734,0.000
38474,0.439,187.951,0.000,-0.006,0.006,0.414,-2.403,-5.493,5276.166,1.359,-0.018
38475,0.329,183.674,-0.003,-0.006,0.003,1.710,-2.060,-10.986,5039.644,5.481,-0.012
38476,0.219,174.902,-0.002,-0.005,0.004,2.911,-3.433,2.747,4525.627,8.888,-0.013
38477,0.000,152.641,-0.002,-0.004,0.003,3.953,-3.433,-0.000,3762.189,10.531,-0.000
38478,-0.110,121.499,-0.003,-0.003,0.001,4.777,-3.090,-4.120,2791.176,10.129,0.006
38479,-0.329,79.610,-0.004,-0.002,-0.001,5.337,-1.373,-4.120,1665.925,7.416,0.008
38480,-0.548,34.322,-0.003,-0.001,-0.001,5.604,0.000,5.493,448.337,3.357,-0.000
38481,-0.658,-0.548,-0.004,0.001,-0.004,5.562,-2.060,-5.493,-794.519,-0.053,0.024
38482,-0.768,-45.836,-0.004,0.002,-0.005,5.212,-1.030,-0.000,-1994.099,-4.170,0.014
38483,-0.877,-84.764,-0.005,0.003,-0.007,4.576,-1.030,-4.120,-3084.165,-6.769,0.016
38484,-0.877,-113.056,-0.005,0.005,-0.009,3.686,-2.747,-1.373,-4004.447,-7.274,0.042
38485,-0.768,-146.391,-0.005,0.005,-0.010,2.593,-1.030,1.373,-4703.977,-6.626,0.014
38486,-0.658,-169.309,-0.003,0.006,-0.009,1.357,0.000,6.866,-5143.925,-4.010,-0.000
38487,-0.548,-178.959,-0.004,0.006,-0.010,0.046,0.000,-4.120,-5299.759,-0.142,-0.000
38488,-0.329,-189.596,-0.002,0.006,-0.008,-1.268,3.090,8.240,-5162.629,4.197,-0.018
38489,-0.219,-177.095,-0.003,0.005,-0.009,-2.512,2.403,-1.373,-4739.877,7.766,-0.009
38490,-0.110,-149.352,-0.003,0.005,-0.009,-3.617,0.000,-2.747,-4054.662,9.430,-0.000
38491,0.000,-144.746,0.002,0.004,-0.003,-4.522,6.523,21.973,-3144.696,11.425,0.000
38492,0.000,-92.221,-0.001,0.002,-0.005,-5.177,1.373,-12.360,-2060.184,8.333,0.000
38493,0.110,-65.026,0.002,0.001,-0.000,-5.545,4.807,12.360,-861.060,6.293,0.009
38494,0.219,-22.918,0.001,-0.000,0.000,-5.606,4.807,-2.747,386.318,2.242,0.018
38495,0.219,35.529,0.003,-0.002,0.003,-5.355,0.000,5.493,1612.835,-3.321,0.000
38496,0.329,67.987,0.001,-0.003,0.003,-4.809,2.403,-5.493,2750.454,-5.706,0.014
38497,0.329,112.288,0.002,-0.004,0.005,-3.995,0.000,2.747,3735.984,-7.829,0.000
38498,0.439,142.114,0.002,-0.005,0.006,-2.959,0.000,0.000,4514.601,-7.340,0.000
38499,0.439,168.980,0.001,-0.006,0.006,-1.759,-1.373,-2.747,5042.905,-5.189,-0.011
38500,0.439,176.985,0.002,-0.006,0.008,-0.462,0.000,2.747,5291.343,-1.427,0.000
38501,0.439,186.087,0.000,-0.006,0.006,0.861,-1.717,-6.866,5245.882,2.798,-0.013
38502,0.329,183.894,-0.001,-0.005,0.005,2.137,-3.090,-5.493,4908.806,6.859,-0.018
38503,0.110,164.813,-0.001,-0.005,0.004,3.294,-2.403,-0.000,4298.617,9.475,-0.005
38504,0.000,141.676,-0.001,-0.004,0.004,4.268,-3.090,-0.000,3449.034,10.553,-0.000
38505,-0.219,114.152,-0.004,-0.003,-0.000,5.004,-4.463,-12.360,2407.137,9.969,0.017
38506,-0.329,71.167,-0.004,-0.001,-0.001,5.462,-3.090,-0.000,1230.770,6.784,0.018
38507,-0.548,29.498,-0.004,0.000,-0.003,5.616,-3.090,-0.000,-14.665,2.891,0.030
38508,-0.658,-8.224,-0.005,0.001,-0.005,5.457,-4.463,-5.493,-1259.839,-0.783,0.051
38509,-0.768,-65.026,-0.004,0.003,-0.006,4.994,0.000,5.493,-2435.354,-5.667,-0.000
38510,-0.877,-97.923,-0.005,0.004,-0.008,4.252,-1.373,-5.493,-3475.614,-7.267,0.021
38511,-0.768,-131.149,-0.005,0.005,-0.009,3.273,-1.030,1.373,-4322.486,-7.493,0.014
38512,-0.768,-167.774,-0.003,0.005,-0.008,2.112,2.403,8.240,-4928.558,-6.185,-0.032
38513,-0.658,-174.902,-0.004,0.006,-0.010,0.833,0.000,-5.493,-5259.802,-2.543,-0.000
38514,-0.548,-187.841,-0.003,0.006,-0.009,-0.493,2.060,4.120,-5297.494,1.616,-0.020
38515,-0.329,-188.499,-0.002,0.006,-0.008,-1.791,3.433,6.866,-5039.288,5.893,-0.020
38516,-0.219,-169.748,-0.001,0.005,-0.007,-2.990,2.060,2.747,-4499.368,8.857,-0.008
38517,-0.110,-147.488,-0.002,0.004,-0.007,-4.021,2.403,-4.120,-3707.683,10.351,-0.005
38518,0.000,-117.771,-0.001,0.003,-0.005,-4.828,2.747,5.493,-2708.301,9.923,0.000
38519,0.000,-84.545,0.002,0.002,-0.001,-5.364,3.777,10.986,-1556.958,7.916,0.000
38520,0.110,-41.011,0.002,0.000,0.000,-5.601,3.090,0.000,-317.966,4.009,0.006
38521,0.219,0.658,0.001,-0.001,0.001,-5.524,3.433,-2.747,939.382,-0.063,0.013
38522,0.219,43.862,0.002,-0.002,0.003,-5.138,3.090,4.120,2144.679,-3.933,0.012
38523,0.329,93.537,0.002,-0.004,0.004,-4.463,0.000,-1.373,3230.350,-7.287,0.000
38524,0.329,121.170,0.004,-0.005,0.007,-3.539,1.717,6.866,4135.444,-7.485,0.010
38525,0.439,149.242,0.003,-0.005,0.007,-2.416,1.373,-4.120,4809.064,-6.294,0.011
38526,0.439,178.082,0.001,-0.006,0.006,-1.158,-1.717,-8.240,5213.232,-3.599,-0.013
38527,0.439,180.275,0.002,-0.006,0.007,0.165,0.000,4.120,5325.047,0.520,0.000
38528,0.329,195.298,-0.001,-0.006,0.005,1.480,-4.807,-10.986,5137.991,5.043,-0.028
38529,0.219,183.565,-0.002,-0.005,0.004,2.711,-4.807,-4.120,4662.321,8.685,-0.018
38530,0.110,156.479,-0.002,-0.004,0.003,3.790,-3.090,-1.373,3924.522,10.350,-0.006
38531,-0.110,134.110,-0.003,-0.003,0.001,4.656,-5.150,-4.120,2965.841,10.898,0.010
38532,-0.329,87.396,-0.003,-0.002,0.000,5.261,-2.060,1.373,1839.992,8.024,0.012
38533,-0.439,47.043,-0.004,-0.001,-0.002,5.569,-2.060,-4.120,610.157,4.573,0.016
38534,-0.658,4.167,-0.004,0.001,-0.004,5.565,-2.060,-1.373,-654.556,0.405,0.024
38535,-0.768,-45.617,-0.003,0.002,-0.004,5.247,0.000,4.120,-1882.993,-4.178,-0.000
38536,-0.877,-78.404,-0.005,0.003,-0.007,4.634,-2.060,-6.866,-3005.957,-6.341,0.032
38537,-0.877,-117.223,-0.005,0.004,-0.008,3.760,-1.030,0.000,-3960.108,-7.693,0.016
38538,-0.768,-145.733,-0.005,0.005,-0.010,2.674,-1.030,-1.373,-4691.542,-6.802,0.014
38539,-0.658,-169.529,-0.004,0.006,-0.009,1.437,0.000,5.493,-5158.845,-4.253,-0.000
38540,-0.548,-189.596,-0.002,0.006,-0.008,0.119,2.747,6.866,-5335.449,-0.395,-0.026
38541,-0.439,-191.131,-0.002,0.006,-0.008,-1.205,3.090,1.373,-5211.150,4.020,-0.024
